ID_Column,Column,Label,Label@nl,Label@fr,Comment,Comment@nl,Comment@de,Comment@fr,Definition,Definition@nl,Definition@de,Definition@fr,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,Template,Column_type_variable,Column_personal_data,Column_sensitive_personal_data
ID_createdDate,createdDate,Creation date of supply problem reason entry.,,,,,,,The date when the entry of supply problem reason dataset was created.,De datum waarop de invoer van de dataset met redenen voor leveringsprobleem is aangemaakt.,?,La date de création de l'entrée du jeu de données des raisons de problème d'approvisionnement.,,,,,,,,,,,,,Date,No,No
ID_de,de,Supply Problem Reason,,,,,,,The reason for a supply problem in German.,De reden voor een leveringsprobleem in het Duits.,?,La raison d'un problème d'approvisionnement en allemand.,,,,,,,,,,,,,String,No,No
ID_deprecated,deprecated,Indicator for outdated supply problem reason.,,,,,,,A flag indicating whether the supply problem reason is no longer in use or outdated.,Een vlag die aangeeft of de reden voor het leveringsprobleem niet langer in gebruik is of verouderd is.,?,Un indicateur indiquant si la raison du problème d'approvisionnement n'est plus en cours d'utilisation ou obsolète.,,,,,,,,,,,,,Boolean,No,No
ID_en,en,Supply Problem Reason,,,,,,,The reason for a supply problem in English.,De reden voor een leveringsprobleem in het Engels.,?,La raison d'un problème d'approvisionnement en anglais.,,,,,,,,,,,,,String,No,No
ID_fr,fr,Supply Problem Reason,,,,,,,The reason for a supply problem in French.,De reden voor een leveringsprobleem in het Frans.,?,La raison d'un problème d'approvisionnement en français.,,,,,,,,,,,,,String,No,No
ID_id,id,Unique identifier for entries in supply problem reason dataset.,,,,,,,"A unique identifier for each entry in the supply problem reason dataset, facilitating data organization and retrieval.","Een unieke identificatie voor elke vermelding in de dataset van redenen voor leveringsproblemen, ter vergemakkelijking van gegevensorganisatie en ophalen.",?,"Un identifiant unique pour chaque entrée dans l'ensemble de données des raisons de problème d'approvisionnement, facilitant l'organisation et la récupération des données.",,,,,,,,,,,,,String,No,No
ID_lastModifiedDate,lastModifiedDate,Last modified date of supply problem reason entry.,,,,,,,The date when the entry in the supply reason dataset was last modified.,De datum waarop de invoer in de dataset van leveringsredenen voor het laatst is gewijzigd.,?,La date de la dernière modification de l'entrée dans le jeu de données des raisons de problème d'approvisionnement.,,,,,,,,,,,,,Date,No,No
ID_nl,nl,Supply Problem Reason,,,,,,,The reason for a supply problem in Dutch.,De reden voor een leveringsprobleem in het Nederlands.,?,La raison d'un problème d'approvisionnement en néerlandais.,,,,,,,,,,,,,String,No,No
ID_mouseOverEn,mouseOverEn,Detailed information on the Supply problem reason,,,,,,,Give an extensive description over the Supply reason problem written in English. ,Geef een uitgebreide beschrijving van het Supply reason-probleem in het Engels.,?,"Donnez une description détaillée du problème de la raison de l'approvisionnement, rédigée en anglais.",,,,,,,,,,,,,String,No,No
ID_mouseOverFr,mouseOverFr,Detailed information on the Supply problem reason,,,,,,,Give an extensive description over the Supply reason problem written in French. ,Geef een uitgebreide beschrijving van het Supply reason-probleem in het frans.,?,"Donnez une description détaillée du problème de la raison de l'approvisionnement, rédigée en francais.",,,,,,,,,,,,,String,No,No
ID_mouseOverNl,mouseOverNl,Detailed information on the Supply problem reason,,,,,,,Give an extensive description over the Supply reason problem written in Dutch. ,Geef een uitgebreide beschrijving van het Supply reason-probleem in het nederlands.,?,"Donnez une description détaillée du problème de la raison de l'approvisionnement, rédigée en néerlandais.",,,,,,,,,,,,,String,No,No
ID_order,order,Business Id that define the gravity of the Supply problem reason,,,,,,,Business Id that define the gravity of the Supply problem reason. This give a scale of the importance of the issue. ,Business Id die de ernst van de Supply problem reden definiëren. Dit geeft een schaal van het belang van het probleem.,?,Business ID qui définit la gravité de la raison du problème d'approvisionnement. Cela donne une échelle de l'importance du problème.,,,,,,,,,,,,,Number,No,No
ID_version,version,Version is an indicator tracking Supply Problem Reason records updates.,,,,,,,"The version number refers to the specific iteration or edition of an entry within the 'Supply Problem Reason(s)' dataset, denoting changes or updates made over time.","Het versienummer verwijst naar de specifieke iteratie of editie van een item in de dataset ""Supply Problem Reason(s)"", wat wijzigingen of updates aangeeft die in de loop der tijd zijn aangebracht.",?,"Le numéro de version fait référence à l'itération ou à l'édition spécifique d'une entrée dans l'ensemble de données ""Supply Problem Reason(s)"", indiquant les changements ou les mises à jour effectués au fil du temps.",,,,,,,,,,,,,Number,No,No
